Complaint,Category,Subcategory,Priority
Something isn't right with the power outage Needs quick inspection.,Electrical Issues,Power Outage,Critical
I saw a small problem in the power outage.,Electrical Issues,Power Outage,Medium
Reported a minor issue in power outage Urgent check needed.,Electrical Issues,Power Outage,Low
The power outage is not working,Electrical Issues,Power Outage,High
Reported a minor issue in power outage Please fix it.,Electrical Issues,Power Outage,Medium
The power outage is not working.,Electrical Issues,Power Outage,Critical
Power Outage seems broken Needs quick inspection.,Electrical Issues,Power Outage,Low
Power Outage is slightly malfunctioning Not working as it should.,Electrical Issues,Power Outage,Critical
The power outage needs attention Not working as it should.,Electrical Issues,Power Outage,Critical
Power Outage seems broken Might be dangerous.,Electrical Issues,Power Outage,Critical
Power Outage has minor problems Needs urgent review.,Electrical Issues,Power Outage,Low
Reported a minor issue in power outage.,Electrical Issues,Power Outage,Medium
The power outage needs attention Urgent check needed.,Electrical Issues,Power Outage,Low
The power outage is not working Not working as it should.,Electrical Issues,Power Outage,Medium
Power Outage has minor problems Can someone check?,Electrical Issues,Power Outage,Critical
There is an issue with the power outage Might be dangerous.,Electrical Issues,Power Outage,Medium
Power Outage is slightly malfunctioning Can someone check?,Electrical Issues,Power Outage,High
Power Outage seems broken Please fix it.,Electrical Issues,Power Outage,Medium
The power outage needs attention Please fix it.,Electrical Issues,Power Outage,Low
There is an issue with the power outage Needs urgent review.,Electrical Issues,Power Outage,Critical
The power outage is not working Needs attention.,Electrical Issues,Power Outage,Medium
Something isn't right with the power outage Urgent check needed.,Electrical Issues,Power Outage,High
Power Outage has minor problems,Electrical Issues,Power Outage,Low
Something isn't right with the power outage Not working as it should.,Electrical Issues,Power Outage,Low
Reported a minor issue in power outage,Electrical Issues,Power Outage,Low
The power outage needs attention,Electrical Issues,Power Outage,Critical
The power outage needs attention Can someone check?,Electrical Issues,Power Outage,High
I saw a small problem in the power outage Might be dangerous.,Electrical Issues,Power Outage,Medium
Power Outage has minor problems Not working as it should.,Electrical Issues,Power Outage,High
I saw a small problem in the power outage Please fix it.,Electrical Issues,Power Outage,High
Power Outage is slightly malfunctioning Needs urgent review.,Electrical Issues,Power Outage,Medium
The power outage needs attention Needs attention.,Electrical Issues,Power Outage,Medium
Power Outage seems broken Can someone check?,Electrical Issues,Power Outage,Critical
Power Outage is not functioning well Might be dangerous.,Electrical Issues,Power Outage,Low
Power Outage is slightly malfunctioning Needs attention.,Electrical Issues,Power Outage,Medium
I saw a small problem in the power outage,Electrical Issues,Power Outage,Medium
The power outage needs attention Might be dangerous.,Electrical Issues,Power Outage,High
Something isn't right with the power outage,Electrical Issues,Power Outage,High
Power Outage seems broken Urgent check needed.,Electrical Issues,Power Outage,Low
Power Outage is slightly malfunctioning Might be dangerous.,Electrical Issues,Power Outage,High
There is an issue with the power outage Urgent check needed.,Electrical Issues,Power Outage,Medium
Power Outage is not functioning well Urgent check needed.,Electrical Issues,Power Outage,High
Power Outage is not functioning well Needs urgent review.,Electrical Issues,Power Outage,Critical
Reported a minor issue in power outage Might be dangerous.,Electrical Issues,Power Outage,Medium
Reported a minor issue in power outage Needs urgent review.,Electrical Issues,Power Outage,Critical
I saw a small problem in the power outage Not working as it should.,Electrical Issues,Power Outage,High
Power Outage is slightly malfunctioning,Electrical Issues,Power Outage,High
Power Outage seems broken Not working as it should.,Electrical Issues,Power Outage,Low
Power Outage is not functioning well Needs quick inspection.,Electrical Issues,Power Outage,Low
Power Outage has minor problems Needs attention.,Electrical Issues,Power Outage,Low
Something isn't right with the power outage Might be dangerous.,Electrical Issues,Power Outage,Critical
Reported a minor issue in power outage Can someone check?,Electrical Issues,Power Outage,Critical
The power outage is not working Needs quick inspection.,Electrical Issues,Power Outage,Low
Power Outage is not functioning well.,Electrical Issues,Power Outage,Low
I saw a small problem in the power outage Urgent check needed.,Electrical Issues,Power Outage,Critical
Power Outage is not functioning well Not working as it should.,Electrical Issues,Power Outage,Critical
Something isn't right with the power outage Can someone check?,Electrical Issues,Power Outage,Critical
Reported a minor issue in power outage Needs attention.,Electrical Issues,Power Outage,Critical
The power outage is not working Needs urgent review.,Electrical Issues,Power Outage,Medium
The power outage needs attention Needs quick inspection.,Electrical Issues,Power Outage,Medium
The power outage is not working Please fix it.,Electrical Issues,Power Outage,High
I saw a small problem in the power outage Needs quick inspection.,Electrical Issues,Power Outage,High
There is an issue with the power outage Please fix it.,Electrical Issues,Power Outage,High
Power Outage seems broken,Electrical Issues,Power Outage,Low
The power outage needs attention.,Electrical Issues,Power Outage,Low
Street Light Malfunction is slightly malfunctioning Can someone check?,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is slightly malfunctioning Needs attention.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction needs attention Needs quick inspection.,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction seems broken Needs urgent review.,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction has minor problems Might be dangerous.,Electrical Issues,Street Light Malfunction,Critical
The street light malfunction is not working Needs quick inspection.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction needs attention,Electrical Issues,Street Light Malfunction,High
Something isn't right with the street light malfunction Please fix it.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction needs attention Needs urgent review.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction has minor problems Needs attention.,Electrical Issues,Street Light Malfunction,High
The street light malfunction is not working Please fix it.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction is not functioning well Needs quick inspection.,Electrical Issues,Street Light Malfunction,High
The street light malfunction needs attention Needs attention.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction is not working Needs attention.,Electrical Issues,Street Light Malfunction,Medium
Reported a minor issue in street light malfunction Not working as it should.,Electrical Issues,Street Light Malfunction,Medium
Reported a minor issue in street light malfunction Please fix it.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction seems broken Needs attention.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is slightly malfunctioning,Electrical Issues,Street Light Malfunction,Medium
Something isn't right with the street light malfunction Needs attention.,Electrical Issues,Street Light Malfunction,Medium
Something isn't right with the street light malfunction Urgent check needed.,Electrical Issues,Street Light Malfunction,Medium
Reported a minor issue in street light malfunction Needs urgent review.,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction seems broken Please fix it.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction seems broken Urgent check needed.,Electrical Issues,Street Light Malfunction,Low
Something isn't right with the street light malfunction Needs urgent review.,Electrical Issues,Street Light Malfunction,High
There is an issue with the street light malfunction Needs urgent review.,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction has minor problems Please fix it.,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction is not functioning well,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction is slightly malfunctioning Needs urgent review.,Electrical Issues,Street Light Malfunction,Low
The street light malfunction is not working Not working as it should.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is not functioning well Needs attention.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction is not functioning well Not working as it should.,Electrical Issues,Street Light Malfunction,Medium
Something isn't right with the street light malfunction Needs quick inspection.,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction is slightly malfunctioning Might be dangerous.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is not functioning well Might be dangerous.,Electrical Issues,Street Light Malfunction,High
Something isn't right with the street light malfunction Can someone check?,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction has minor problems.,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction seems broken Not working as it should.,Electrical Issues,Street Light Malfunction,Medium
Reported a minor issue in street light malfunction Urgent check needed.,Electrical Issues,Street Light Malfunction,Medium
There is an issue with the street light malfunction.,Electrical Issues,Street Light Malfunction,High
I saw a small problem in the street light malfunction Might be dangerous.,Electrical Issues,Street Light Malfunction,Low
Reported a minor issue in street light malfunction.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction needs attention.,Electrical Issues,Street Light Malfunction,High
The street light malfunction is not working,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction is slightly malfunctioning Not working as it should.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction is not working Urgent check needed.,Electrical Issues,Street Light Malfunction,High
There is an issue with the street light malfunction Please fix it.,Electrical Issues,Street Light Malfunction,Low
There is an issue with the street light malfunction Might be dangerous.,Electrical Issues,Street Light Malfunction,Medium
Reported a minor issue in street light malfunction Needs quick inspection.,Electrical Issues,Street Light Malfunction,Critical
There is an issue with the street light malfunction Needs attention.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction has minor problems Needs quick inspection.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction has minor problems Urgent check needed.,Electrical Issues,Street Light Malfunction,Critical
I saw a small problem in the street light malfunction Can someone check?,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction seems broken,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction is slightly malfunctioning Urgent check needed.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction is not working.,Electrical Issues,Street Light Malfunction,Critical
Something isn't right with the street light malfunction.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction seems broken Might be dangerous.,Electrical Issues,Street Light Malfunction,Critical
The street light malfunction needs attention Urgent check needed.,Electrical Issues,Street Light Malfunction,Medium
There is an issue with the street light malfunction Urgent check needed.,Electrical Issues,Street Light Malfunction,Medium
I saw a small problem in the street light malfunction Please fix it.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction seems broken Needs quick inspection.,Electrical Issues,Street Light Malfunction,Low
The street light malfunction needs attention Not working as it should.,Electrical Issues,Street Light Malfunction,Critical
Street Light Malfunction is slightly malfunctioning Please fix it.,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction is slightly malfunctioning.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction has minor problems Can someone check?,Electrical Issues,Street Light Malfunction,High
I saw a small problem in the street light malfunction Not working as it should.,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction is not functioning well Can someone check?,Electrical Issues,Street Light Malfunction,Low
I saw a small problem in the street light malfunction Urgent check needed.,Electrical Issues,Street Light Malfunction,Medium
There is an issue with the street light malfunction Can someone check?,Electrical Issues,Street Light Malfunction,Low
I saw a small problem in the street light malfunction,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction has minor problems,Electrical Issues,Street Light Malfunction,High
Reported a minor issue in street light malfunction Needs attention.,Electrical Issues,Street Light Malfunction,Low
The street light malfunction is not working Can someone check?,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is not functioning well Urgent check needed.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction is not functioning well.,Electrical Issues,Street Light Malfunction,High
Something isn't right with the street light malfunction Not working as it should.,Electrical Issues,Street Light Malfunction,Low
The street light malfunction is not working Needs urgent review.,Electrical Issues,Street Light Malfunction,Critical
I saw a small problem in the street light malfunction Needs quick inspection.,Electrical Issues,Street Light Malfunction,High
Something isn't right with the street light malfunction,Electrical Issues,Street Light Malfunction,Critical
I saw a small problem in the street light malfunction.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is not functioning well Please fix it.,Electrical Issues,Street Light Malfunction,Low
The street light malfunction needs attention Can someone check?,Electrical Issues,Street Light Malfunction,High
Something isn't right with the street light malfunction Might be dangerous.,Electrical Issues,Street Light Malfunction,Low
There is an issue with the street light malfunction Not working as it should.,Electrical Issues,Street Light Malfunction,Medium
There is an issue with the street light malfunction Needs quick inspection.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction has minor problems Needs urgent review.,Electrical Issues,Street Light Malfunction,Medium
Street Light Malfunction is slightly malfunctioning Needs quick inspection.,Electrical Issues,Street Light Malfunction,Critical
Reported a minor issue in street light malfunction Can someone check?,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction needs attention Please fix it.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction has minor problems Not working as it should.,Electrical Issues,Street Light Malfunction,Critical
Reported a minor issue in street light malfunction Might be dangerous.,Electrical Issues,Street Light Malfunction,Critical
The street light malfunction needs attention Might be dangerous.,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction seems broken.,Electrical Issues,Street Light Malfunction,Low
I saw a small problem in the street light malfunction Needs attention.,Electrical Issues,Street Light Malfunction,Low
Street Light Malfunction seems broken Can someone check?,Electrical Issues,Street Light Malfunction,Medium
I saw a small problem in the street light malfunction Needs urgent review.,Electrical Issues,Street Light Malfunction,Medium
The street light malfunction is not working Might be dangerous.,Electrical Issues,Street Light Malfunction,Medium
There is an issue with the street light malfunction,Electrical Issues,Street Light Malfunction,High
Street Light Malfunction is not functioning well Needs urgent review.,Electrical Issues,Street Light Malfunction,Critical
Reported a minor issue in street light malfunction,Electrical Issues,Street Light Malfunction,Critical
Electrical Faults has minor problems Needs quick inspection.,Electrical Issues,Electrical Faults,Critical
There is an issue with the electrical faults Please fix it.,Electrical Issues,Electrical Faults,Medium
Electrical Faults is not functioning well.,Electrical Issues,Electrical Faults,High
Electrical Faults is not functioning well,Electrical Issues,Electrical Faults,High
Electrical Faults is not functioning well Might be dangerous.,Electrical Issues,Electrical Faults,Medium
Reported a minor issue in electrical faults Needs attention.,Electrical Issues,Electrical Faults,High
The electrical faults is not working Can someone check?,Electrical Issues,Electrical Faults,Low
Electrical Faults is not functioning well Needs attention.,Electrical Issues,Electrical Faults,Critical
I saw a small problem in the electrical faults.,Electrical Issues,Electrical Faults,High
Electrical Faults is not functioning well Not working as it should.,Electrical Issues,Electrical Faults,Low
I saw a small problem in the electrical faults,Electrical Issues,Electrical Faults,Low
Electrical Faults is slightly malfunctioning Needs attention.,Electrical Issues,Electrical Faults,Medium
Electrical Faults has minor problems.,Electrical Issues,Electrical Faults,Critical
I saw a small problem in the electrical faults Needs attention.,Electrical Issues,Electrical Faults,Medium
I saw a small problem in the electrical faults Can someone check?,Electrical Issues,Electrical Faults,High
Something isn't right with the electrical faults Needs quick inspection.,Electrical Issues,Electrical Faults,Critical
Electrical Faults is slightly malfunctioning.,Electrical Issues,Electrical Faults,Critical
Electrical Faults seems broken Needs quick inspection.,Electrical Issues,Electrical Faults,High
Electrical Faults is slightly malfunctioning Urgent check needed.,Electrical Issues,Electrical Faults,Medium
Something isn't right with the electrical faults Needs urgent review.,Electrical Issues,Electrical Faults,High
The electrical faults needs attention Needs attention.,Electrical Issues,Electrical Faults,Critical
Something isn't right with the electrical faults Please fix it.,Electrical Issues,Electrical Faults,Critical
Reported a minor issue in electrical faults Not working as it should.,Electrical Issues,Electrical Faults,Low
Electrical Faults is not functioning well Please fix it.,Electrical Issues,Electrical Faults,Critical
I saw a small problem in the electrical faults Needs urgent review.,Electrical Issues,Electrical Faults,Critical
I saw a small problem in the electrical faults Needs quick inspection.,Electrical Issues,Electrical Faults,Low
Reported a minor issue in electrical faults,Electrical Issues,Electrical Faults,Low
Electrical Faults is not functioning well Urgent check needed.,Electrical Issues,Electrical Faults,Low
Something isn't right with the electrical faults Needs attention.,Electrical Issues,Electrical Faults,Critical
Something isn't right with the electrical faults Can someone check?,Electrical Issues,Electrical Faults,Critical
The electrical faults needs attention Needs urgent review.,Electrical Issues,Electrical Faults,Critical
The electrical faults needs attention Not working as it should.,Electrical Issues,Electrical Faults,Medium
The electrical faults needs attention,Electrical Issues,Electrical Faults,Medium
The electrical faults needs attention Can someone check?,Electrical Issues,Electrical Faults,Critical
There is an issue with the electrical faults Needs attention.,Electrical Issues,Electrical Faults,High
Electrical Faults has minor problems Needs urgent review.,Electrical Issues,Electrical Faults,Critical
I saw a small problem in the electrical faults Might be dangerous.,Electrical Issues,Electrical Faults,Low
Electrical Faults seems broken Needs attention.,Electrical Issues,Electrical Faults,Low
There is an issue with the electrical faults Can someone check?,Electrical Issues,Electrical Faults,Low
I saw a small problem in the electrical faults Not working as it should.,Electrical Issues,Electrical Faults,Medium
The electrical faults needs attention Urgent check needed.,Electrical Issues,Electrical Faults,High
Reported a minor issue in electrical faults Urgent check needed.,Electrical Issues,Electrical Faults,Medium
Electrical Faults seems broken Please fix it.,Electrical Issues,Electrical Faults,Medium
The electrical faults is not working,Electrical Issues,Electrical Faults,Medium
I saw a small problem in the electrical faults Urgent check needed.,Electrical Issues,Electrical Faults,Low
Electrical Faults is slightly malfunctioning,Electrical Issues,Electrical Faults,High
There is an issue with the electrical faults Needs quick inspection.,Electrical Issues,Electrical Faults,Medium
The electrical faults needs attention Might be dangerous.,Electrical Issues,Electrical Faults,Critical
Electrical Faults seems broken Not working as it should.,Electrical Issues,Electrical Faults,Low
Electrical Faults is slightly malfunctioning Might be dangerous.,Electrical Issues,Electrical Faults,Medium
There is an issue with the electrical faults.,Electrical Issues,Electrical Faults,High
Electrical Faults has minor problems Urgent check needed.,Electrical Issues,Electrical Faults,Critical
There is an issue with the electrical faults Might be dangerous.,Electrical Issues,Electrical Faults,Critical
Electrical Faults is slightly malfunctioning Needs quick inspection.,Electrical Issues,Electrical Faults,High
Reported a minor issue in electrical faults Please fix it.,Electrical Issues,Electrical Faults,High
Electrical Faults is slightly malfunctioning Can someone check?,Electrical Issues,Electrical Faults,High
There is an issue with the electrical faults,Electrical Issues,Electrical Faults,High
The electrical faults is not working Please fix it.,Electrical Issues,Electrical Faults,Medium
Something isn't right with the electrical faults Not working as it should.,Electrical Issues,Electrical Faults,High
There is an issue with the electrical faults Urgent check needed.,Electrical Issues,Electrical Faults,High
Electrical Faults seems broken,Electrical Issues,Electrical Faults,High
The electrical faults needs attention Please fix it.,Electrical Issues,Electrical Faults,Critical
Reported a minor issue in electrical faults Needs urgent review.,Electrical Issues,Electrical Faults,Medium
Electrical Faults is slightly malfunctioning Needs urgent review.,Electrical Issues,Electrical Faults,Medium
Electrical Faults seems broken Needs urgent review.,Electrical Issues,Electrical Faults,Critical
Electrical Faults is not functioning well Needs urgent review.,Electrical Issues,Electrical Faults,Critical
The electrical faults is not working Not working as it should.,Electrical Issues,Electrical Faults,High
Electrical Faults is not functioning well Needs quick inspection.,Electrical Issues,Electrical Faults,Critical
Something isn't right with the electrical faults,Electrical Issues,Electrical Faults,Critical
Reported a minor issue in electrical faults Might be dangerous.,Electrical Issues,Electrical Faults,Critical
Something isn't right with the electrical faults Urgent check needed.,Electrical Issues,Electrical Faults,Critical
Reported a minor issue in electrical faults Needs quick inspection.,Electrical Issues,Electrical Faults,High
Electrical Faults seems broken Can someone check?,Electrical Issues,Electrical Faults,Medium
Electrical Faults has minor problems,Electrical Issues,Electrical Faults,Critical
Something isn't right with the electrical faults.,Electrical Issues,Electrical Faults,Critical
Something isn't right with the electrical faults Might be dangerous.,Electrical Issues,Electrical Faults,High
The electrical faults needs attention.,Electrical Issues,Electrical Faults,Medium
Electrical Faults has minor problems Needs attention.,Electrical Issues,Electrical Faults,High
The electrical faults is not working Might be dangerous.,Electrical Issues,Electrical Faults,High
Electrical Faults has minor problems Can someone check?,Electrical Issues,Electrical Faults,Critical
Electrical Faults has minor problems Might be dangerous.,Electrical Issues,Electrical Faults,High
Electrical Faults has minor problems Not working as it should.,Electrical Issues,Electrical Faults,Critical
Electrical Faults seems broken.,Electrical Issues,Electrical Faults,Low
The electrical faults is not working Urgent check needed.,Electrical Issues,Electrical Faults,Critical
There is an issue with the electrical faults Not working as it should.,Electrical Issues,Electrical Faults,High
The electrical faults is not working Needs quick inspection.,Electrical Issues,Electrical Faults,High
The electrical faults is not working Needs urgent review.,Electrical Issues,Electrical Faults,High
There is an issue with the electrical faults Needs urgent review.,Electrical Issues,Electrical Faults,Critical
The electrical faults needs attention Needs quick inspection.,Electrical Issues,Electrical Faults,High
I saw a small problem in the electrical faults Please fix it.,Electrical Issues,Electrical Faults,Critical
Electrical Faults seems broken Urgent check needed.,Electrical Issues,Electrical Faults,Medium
Electrical Faults is slightly malfunctioning Not working as it should.,Electrical Issues,Electrical Faults,Medium
Electrical Faults is slightly malfunctioning Please fix it.,Electrical Issues,Electrical Faults,Low
Reported a minor issue in electrical faults.,Electrical Issues,Electrical Faults,Critical
Electrical Faults is not functioning well Can someone check?,Electrical Issues,Electrical Faults,High
Electrical Faults seems broken Might be dangerous.,Electrical Issues,Electrical Faults,High
Electrical Faults has minor problems Please fix it.,Electrical Issues,Electrical Faults,High
Reported a minor issue in electrical faults Can someone check?,Electrical Issues,Electrical Faults,Low
The electrical faults is not working Needs attention.,Electrical Issues,Electrical Faults,High
The electrical faults is not working.,Electrical Issues,Electrical Faults,Critical
Traffic Signal Problems is not functioning well Needs urgent review.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems has minor problems Please fix it.,Electrical Issues,Traffic Signal Problems,Critical
I saw a small problem in the traffic signal problems Urgent check needed.,Electrical Issues,Traffic Signal Problems,Medium
I saw a small problem in the traffic signal problems Please fix it.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems needs attention Needs quick inspection.,Electrical Issues,Traffic Signal Problems,Low
There is an issue with the traffic signal problems Needs attention.,Electrical Issues,Traffic Signal Problems,High
I saw a small problem in the traffic signal problems Needs attention.,Electrical Issues,Traffic Signal Problems,High
Something isn't right with the traffic signal problems Urgent check needed.,Electrical Issues,Traffic Signal Problems,High
The traffic signal problems is not working Needs urgent review.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems is not functioning well.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning Needs attention.,Electrical Issues,Traffic Signal Problems,Low
Reported a minor issue in traffic signal problems Needs attention.,Electrical Issues,Traffic Signal Problems,Medium
Something isn't right with the traffic signal problems Please fix it.,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems seems broken Might be dangerous.,Electrical Issues,Traffic Signal Problems,Low
I saw a small problem in the traffic signal problems Not working as it should.,Electrical Issues,Traffic Signal Problems,Critical
I saw a small problem in the traffic signal problems Needs quick inspection.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is not functioning well Needs attention.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is not functioning well,Electrical Issues,Traffic Signal Problems,Critical
The traffic signal problems needs attention Please fix it.,Electrical Issues,Traffic Signal Problems,High
Reported a minor issue in traffic signal problems Urgent check needed.,Electrical Issues,Traffic Signal Problems,Low
Reported a minor issue in traffic signal problems Needs urgent review.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems has minor problems Needs quick inspection.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems is not functioning well Urgent check needed.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning Might be dangerous.,Electrical Issues,Traffic Signal Problems,High
Something isn't right with the traffic signal problems Might be dangerous.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems seems broken Can someone check?,Electrical Issues,Traffic Signal Problems,High
The traffic signal problems needs attention Can someone check?,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems seems broken Needs quick inspection.,Electrical Issues,Traffic Signal Problems,Critical
There is an issue with the traffic signal problems,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems seems broken.,Electrical Issues,Traffic Signal Problems,Low
There is an issue with the traffic signal problems Needs quick inspection.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is not functioning well Needs quick inspection.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems is slightly malfunctioning.,Electrical Issues,Traffic Signal Problems,Low
The traffic signal problems needs attention Urgent check needed.,Electrical Issues,Traffic Signal Problems,Low
There is an issue with the traffic signal problems Needs urgent review.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning Urgent check needed.,Electrical Issues,Traffic Signal Problems,High
Reported a minor issue in traffic signal problems,Electrical Issues,Traffic Signal Problems,High
Something isn't right with the traffic signal problems Needs attention.,Electrical Issues,Traffic Signal Problems,Low
I saw a small problem in the traffic signal problems Can someone check?,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems has minor problems Not working as it should.,Electrical Issues,Traffic Signal Problems,Critical
Something isn't right with the traffic signal problems.,Electrical Issues,Traffic Signal Problems,High
Something isn't right with the traffic signal problems Not working as it should.,Electrical Issues,Traffic Signal Problems,Critical
The traffic signal problems is not working.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems seems broken Please fix it.,Electrical Issues,Traffic Signal Problems,High
Something isn't right with the traffic signal problems Needs urgent review.,Electrical Issues,Traffic Signal Problems,Low
There is an issue with the traffic signal problems.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning Needs urgent review.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems is slightly malfunctioning Please fix it.,Electrical Issues,Traffic Signal Problems,Medium
Reported a minor issue in traffic signal problems Can someone check?,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems seems broken Needs urgent review.,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems has minor problems,Electrical Issues,Traffic Signal Problems,High
Reported a minor issue in traffic signal problems Please fix it.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems is not functioning well Can someone check?,Electrical Issues,Traffic Signal Problems,Critical
